epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,446.575,1.74322,2.83124,0.00745,0.41833,0.24399,0.31212,0.20161,2.04852,6.93643,0.01558,0.000848969,0.000848969,0.000848969
43,456.889,1.71338,2.63025,0.00712,0.54073,0.28413,0.35074,0.22946,2.01145,6.71388,0.01618,0.000834822,0.000834822,0.000834822
44,466.841,1.64448,2.71984,0.00697,0.55412,0.28057,0.34626,0.22246,1.88204,6.54645,0.01491,0.000820675,0.000820675,0.000820675
45,476.48,1.6578,2.53613,0.0067,0.55412,0.28057,0.34626,0.22246,1.88204,6.54645,0.01491,0.000806528,0.000806528,0.000806528
46,486.112,1.57368,2.63598,0.00727,0.43491,0.30256,0.35172,0.23178,1.89031,6.45907,0.01513,0.00079238,0.00079238,0.00079238
47,496.325,1.45247,2.89512,0.00818,0.41624,0.30518,0.35328,0.22029,2.06501,6.49492,0.01613,0.000778233,0.000778233,0.000778233
48,507.277,1.57794,2.38657,0.00683,0.73543,0.36923,0.35432,0.21694,2.13458,6.50057,0.01477,0.000764086,0.000764086,0.000764086
49,518.15,1.49487,2.86759,0.00773,0.73543,0.36923,0.35432,0.21694,2.13458,6.50057,0.01477,0.000749939,0.000749939,0.000749939
50,529.643,1.60138,2.78094,0.00884,0.69756,0.30631,0.34905,0.21263,2.13054,6.40296,0.01534,0.000735792,0.000735792,0.000735792
51,541.404,1.71069,2.16423,0.00578,0.24756,0.39447,0.36379,0.21858,2.16426,6.30948,0.01504,0.000721645,0.000721645,0.000721645
52,553.263,1.64346,2.35248,0.00719,0.40264,0.42821,0.36307,0.22778,2.15062,6.22209,0.01508,0.000707498,0.000707498,0.000707498
53,564.455,1.51543,2.97447,0.00792,0.40264,0.42821,0.36307,0.22778,2.15062,6.22209,0.01508,0.000693351,0.000693351,0.000693351
54,575.75,1.44587,2.36357,0.00569,0.4457,0.41622,0.33474,0.19427,2.13876,6.20111,0.0147,0.000679204,0.000679204,0.000679204
55,587.213,1.57777,2.59883,0.007,0.42177,0.40256,0.34047,0.19496,2.13523,6.20602,0.01536,0.000665057,0.000665057,0.000665057
56,598.525,1.55819,2.40967,0.00723,0.3785,0.3359,0.31555,0.17178,2.14838,6.15906,0.01643,0.000650909,0.000650909,0.000650909
57,609.749,1.6509,2.31158,0.00707,0.3785,0.3359,0.31555,0.17178,2.14838,6.15906,0.01643,0.000636762,0.000636762,0.000636762
58,621.734,1.72906,2.24094,0.0066,0.39231,0.3359,0.31783,0.17969,2.07671,6.01089,0.01595,0.000622615,0.000622615,0.000622615
59,632.981,1.5164,2.76646,0.00793,0.39798,0.41992,0.32339,0.18966,1.98831,5.91748,0.01533,0.000608468,0.000608468,0.000608468
60,645.911,1.50024,2.45208,0.00654,0.57644,0.47189,0.34866,0.19742,1.96696,5.83635,0.01402,0.000594321,0.000594321,0.000594321
61,657.694,1.63279,2.70313,0.00681,0.57644,0.47189,0.34866,0.19742,1.96696,5.83635,0.01402,0.000580174,0.000580174,0.000580174
62,669.301,1.52941,2.36109,0.00631,0.59225,0.43576,0.35869,0.19937,2.01319,5.78621,0.01543,0.000566027,0.000566027,0.000566027
63,682.114,1.5391,2.34585,0.00656,0.58036,0.4359,0.34955,0.18634,2.0199,5.74728,0.01514,0.00055188,0.00055188,0.00055188
64,693.566,1.40229,2.10034,0.00591,0.6891,0.36063,0.35351,0.19538,1.98493,5.73127,0.015,0.000537733,0.000537733,0.000537733
65,705.135,1.56812,2.34533,0.00611,0.6891,0.36063,0.35351,0.19538,1.98493,5.73127,0.015,0.000523586,0.000523586,0.000523586
66,716.457,1.37677,2.4855,0.00731,0.79005,0.28932,0.36019,0.18817,2.04507,5.64982,0.01419,0.000509438,0.000509438,0.000509438
67,729.284,1.41411,2.17785,0.00619,0.71654,0.38091,0.37784,0.20194,2.05464,5.56615,0.01539,0.000495291,0.000495291,0.000495291
68,740.659,1.47927,2.09098,0.00604,0.78721,0.39487,0.41351,0.23081,2.05732,5.51554,0.01468,0.000481144,0.000481144,0.000481144
69,752.447,1.29733,2.82613,0.00793,0.78721,0.39487,0.41351,0.23081,2.05732,5.51554,0.01468,0.000466997,0.000466997,0.000466997
70,764.466,1.38024,2.16338,0.00679,0.76203,0.39487,0.41823,0.25181,2.01199,5.44899,0.01367,0.00045285,0.00045285,0.00045285
71,776.809,1.40745,2.48017,0.00704,0.7646,0.35018,0.41126,0.24903,1.99362,5.40101,0.01316,0.000438703,0.000438703,0.000438703
72,788.611,1.41366,2.23581,0.00685,0.99056,0.2528,0.4092,0.25719,1.94796,5.36617,0.01272,0.000424556,0.000424556,0.000424556
73,800.165,1.50534,2.01462,0.00589,0.99056,0.2528,0.4092,0.25719,1.94796,5.36617,0.01272,0.000410409,0.000410409,0.000410409
74,811.853,1.57356,1.8653,0.00489,1,0.25748,0.40692,0.26867,1.91841,5.37812,0.01203,0.000396262,0.000396262,0.000396262
75,823.776,1.36844,2.01636,0.00637,0.92892,0.25417,0.39965,0.26297,1.90831,5.36633,0.01206,0.000382115,0.000382115,0.000382115
76,835.423,1.3924,1.96554,0.00553,0.73502,0.2788,0.39838,0.25939,1.92095,5.35508,0.01229,0.000367967,0.000367967,0.000367967
77,846.177,1.28392,2.94964,0.00865,0.73502,0.2788,0.39838,0.25939,1.92095,5.35508,0.01229,0.00035382,0.00035382,0.00035382
78,857.697,1.49778,1.74937,0.00551,0.92115,0.25794,0.40437,0.26635,1.9137,5.33574,0.01207,0.000339673,0.000339673,0.000339673
79,868.985,1.42818,2.25371,0.00632,0.78925,0.32272,0.40217,0.2642,1.9138,5.32452,0.01212,0.000325526,0.000325526,0.000325526
80,880.356,1.36522,1.87319,0.00545,0.796,0.32335,0.39769,0.25917,1.93157,5.31265,0.01304,0.000311379,0.000311379,0.000311379
81,891.618,1.36593,2.13355,0.00585,0.796,0.32335,0.39769,0.25917,1.93157,5.31265,0.01304,0.000297232,0.000297232,0.000297232
82,902.672,1.3291,2.32911,0.00708,0.78013,0.32821,0.38474,0.24179,1.93685,5.29943,0.01296,0.000283085,0.000283085,0.000283085
83,913.978,1.36572,2.18918,0.00672,0.76397,0.36646,0.42306,0.25624,1.95149,5.27294,0.01317,0.000268938,0.000268938,0.000268938
84,924.828,1.23338,2.37049,0.00616,0.77232,0.37271,0.42215,0.25357,1.95437,5.25632,0.013,0.000254791,0.000254791,0.000254791
85,935.847,1.27757,2.00155,0.00643,0.77232,0.37271,0.42215,0.25357,1.95437,5.25632,0.013,0.000240644,0.000240644,0.000240644
86,947.057,1.30328,2.30707,0.00621,0.75336,0.39487,0.41949,0.25601,1.94746,5.23603,0.01287,0.000226497,0.000226497,0.000226497
87,958.04,1.32511,1.96368,0.00591,0.75675,0.39487,0.40201,0.23846,1.9275,5.25409,0.01287,0.000212349,0.000212349,0.000212349
88,969.67,1.49962,1.94814,0.00646,0.7255,0.39487,0.3816,0.22278,1.91924,5.20728,0.01323,0.000198202,0.000198202,0.000198202
89,980.79,1.56514,2.44359,0.00669,0.7255,0.39487,0.3816,0.22278,1.91924,5.20728,0.01323,0.000184055,0.000184055,0.000184055
90,992.032,1.46657,1.87408,0.00555,0.72543,0.38687,0.38571,0.21695,1.89758,5.21669,0.01311,0.000169908,0.000169908,0.000169908
91,1003.04,1.31474,3.13494,0.00977,0.7198,0.35626,0.39034,0.23138,1.89712,5.18622,0.01363,0.000155761,0.000155761,0.000155761
92,1026.87,1.39085,2.63976,0.00691,0.72483,0.32821,0.39029,0.21859,1.90708,5.20793,0.01384,0.000141614,0.000141614,0.000141614
93,1051.71,1.26698,2.97989,0.00572,0.72483,0.32821,0.39029,0.21859,1.90708,5.20793,0.01384,0.000127467,0.000127467,0.000127467
94,1070.7,1.39453,2.81313,0.00841,0.76304,0.32821,0.37297,0.20784,1.91018,5.24343,0.01312,0.00011332,0.00011332,0.00011332
95,1090.08,1.41092,2.68205,0.00609,0.76294,0.32821,0.37323,0.20668,1.92352,5.24646,0.01352,9.91726e-05,9.91726e-05,9.91726e-05
96,1108.92,1.25454,2.55804,0.00664,0.78733,0.39487,0.40402,0.23409,1.94855,5.22733,0.01381,8.50255e-05,8.50255e-05,8.50255e-05
97,1123.65,1.19242,3.01426,0.00797,0.78733,0.39487,0.40402,0.23409,1.94855,5.22733,0.01381,7.08784e-05,7.08784e-05,7.08784e-05
98,1134.51,1.34113,2.505,0.00539,0.78918,0.37223,0.41152,0.24044,1.94128,5.22103,0.01386,5.67313e-05,5.67313e-05,5.67313e-05
99,1145.68,1.28537,2.51846,0.00586,0.73818,0.32821,0.3939,0.22866,1.95468,5.22374,0.01408,4.25842e-05,4.25842e-05,4.25842e-05
100,1156.61,1.23292,2.97677,0.00731,0.79503,0.31405,0.40028,0.23308,1.99548,5.20818,0.01441,2.84371e-05,2.84371e-05,2.84371e-05
